waveform	[0]	[1]	[2]	[3]	[4]	[5]	[6]	[7]	[8]	[9]	[10]	[11]	[12]	[13]	[14]	[15]	[16]	[17]	[18]
t0	9/12/2022  09:31:35.612326	9/12/2022  09:31:35.612326	9/12/2022  09:31:35.612326	9/12/2022  09:31:35.612326	9/12/2022  09:31:35.612326	9/12/2022  09:31:35.612326	9/12/2022  09:31:35.612326	9/12/2022  09:31:35.612326	9/12/2022  09:31:35.612326	9/12/2022  09:31:35.612326	9/12/2022  09:31:35.612326	9/12/2022  09:31:35.612326	9/12/2022  09:31:35.612326	9/12/2022  09:31:35.612326	9/12/2022  09:31:35.612326	9/12/2022  09:31:35.612326	9/12/2022  09:31:35.612326	9/12/2022  09:31:35.612326	9/12/2022  09:31:35.612326
delta t	0.004000	0.004000	0.004000	0.004000	0.004000	0.004000	0.004000	0.004000	0.004000	0.004000	0.004000	0.004000	0.004000	0.004000	0.004000	0.004000	0.004000	0.004000	0.004000

time	Y[0]	Y[1]	Y[2]	Y[3]	Y[4]	Y[5]	Y[6]	Y[7]	Y[8]	Y[9]	Y[10]	Y[11]	Y[12]	Y[13]	Y[14]	Y[15]	Y[16]	Y[17]	Y[18]
9/12/2022  09:31:35.612326	2.836865E+1	2.210643E+1	2.109324E+1	3.640206E+1	3.940701E+1	3.547525E+1	3.997082E+1	4.610920E+1	4.263085E+1	5.827248E+1	3.431022E+1	-4.338418E+0	2.191782E+1	2.452927E+1	1.746975E+1	2.530629E+1	3.337300E+1	2.467131E+1	3.069399E+1
9/12/2022  09:31:35.616326	4.320522E+1	2.392978E+1	2.692564E+1	3.699843E+1	3.481336E+1	2.914373E+1	2.617384E+1	4.563406E+1	3.885017E+1	5.879112E+1	1.706590E+1	-3.950130E+1	5.842031E+0	1.147740E+1	1.029218E+0	2.148090E+1	3.106516E+1	2.648657E+1	2.627768E+1
9/12/2022  09:31:35.620326	3.763418E+1	1.475142E+1	2.172928E+1	2.810381E+1	2.290051E+1	1.292383E+1	6.893968E+0	3.425220E+1	2.818243E+1	4.894222E+1	-6.479921E+0	-7.504795E+1	-1.605357E+1	-7.111224E+0	-2.117622E+1	7.244045E+0	1.623572E+1	1.598376E+1	1.230143E+1
9/12/2022  09:31:35.624326	1.805955E+1	3.561048E+0	1.202464E+1	1.708536E+1	1.152587E+1	-3.992963E+0	-7.550447E+0	1.987384E+1	1.832250E+1	3.694376E+1	-2.418103E+1	-9.629597E+1	-3.240095E+1	-2.160850E+1	-3.749171E+1	-7.873782E+0	-1.398520E+0	1.988315E+0	-2.076432E+0
9/12/2022  09:31:35.628326	-8.342826E-1	-1.953156E-1	6.562917E+0	1.174590E+1	6.924321E+0	-1.281328E+1	-1.092225E+1	1.133322E+1	1.516738E+1	3.095880E+1	-2.846997E+1	-9.695800E+1	-3.542669E+1	-2.542247E+1	-4.011086E+1	-1.413272E+1	-1.135240E+1	-5.703213E+0	-8.537571E+0
9/12/2022  09:31:35.632326	-6.785145E+0	6.900454E+0	1.004725E+1	1.526312E+1	9.883985E+0	-1.086678E+1	-4.603220E+0	1.265050E+1	1.917807E+1	3.378869E+1	-2.064513E+1	-8.237720E+1	-2.592037E+1	-1.905041E+1	-3.007518E+1	-8.434460E+0	-9.423073E+0	-3.049750E+0	-5.060004E+0
