waveform	[0]	[1]	[2]	[3]	[4]	[5]	[6]	[7]	[8]	[9]	[10]	[11]	[12]	[13]	[14]	[15]	[16]	[17]	[18]
t0	9/12/2022  09:32:59.348925	9/12/2022  09:32:59.348925	9/12/2022  09:32:59.348925	9/12/2022  09:32:59.348925	9/12/2022  09:32:59.348925	9/12/2022  09:32:59.348925	9/12/2022  09:32:59.348925	9/12/2022  09:32:59.348925	9/12/2022  09:32:59.348925	9/12/2022  09:32:59.348925	9/12/2022  09:32:59.348925	9/12/2022  09:32:59.348925	9/12/2022  09:32:59.348925	9/12/2022  09:32:59.348925	9/12/2022  09:32:59.348925	9/12/2022  09:32:59.348925	9/12/2022  09:32:59.348925	9/12/2022  09:32:59.348925	9/12/2022  09:32:59.348925
delta t	0.004000	0.004000	0.004000	0.004000	0.004000	0.004000	0.004000	0.004000	0.004000	0.004000	0.004000	0.004000	0.004000	0.004000	0.004000	0.004000	0.004000	0.004000	0.004000

time	Y[0]	Y[1]	Y[2]	Y[3]	Y[4]	Y[5]	Y[6]	Y[7]	Y[8]	Y[9]	Y[10]	Y[11]	Y[12]	Y[13]	Y[14]	Y[15]	Y[16]	Y[17]	Y[18]
9/12/2022  09:32:59.348925	2.501297E+1	1.369735E+1	1.982878E+1	2.061604E+0	9.049524E+0	3.608459E+1	6.870494E+0	2.988815E+1	2.536936E+1	-2.583292E+1	4.058081E+1	6.150315E+1	5.164254E+1	3.186454E+1	4.549885E+1	4.516626E+1	8.899592E+0	2.674606E+1	3.413383E-1
9/12/2022  09:32:59.352925	1.294089E+1	7.011526E+0	1.246201E+1	-6.197793E+0	1.620453E+0	2.069764E+1	-6.481487E+0	1.704081E+1	1.654437E+1	-3.131358E+1	3.036558E+1	4.380014E+1	3.045930E+1	1.947564E+1	2.930642E+1	3.309993E+1	-6.116405E-1	1.879698E+1	-3.797840E+0
9/12/2022  09:32:59.356925	-1.026870E+1	-3.920276E+0	1.496177E+0	-9.834200E+0	-2.648967E+0	5.256648E+0	-1.704840E+1	7.753286E+0	1.028852E+1	-2.273196E+1	2.020403E+1	1.963152E+1	4.265743E+0	5.534470E+0	1.324700E+1	1.714120E+1	-1.671806E+1	7.199171E+0	-1.054365E+1
9/12/2022  09:32:59.360925	-3.141242E+1	-1.326409E+1	-7.513209E+0	-8.115665E+0	-2.109902E+0	-3.054773E+0	-2.017769E+1	6.102018E+0	9.515028E+0	-6.438803E+0	1.436802E+1	8.632463E-2	-1.474190E+1	-3.195824E+0	3.789609E+0	5.326099E+0	-3.020421E+1	-1.677110E+0	-1.563103E+1
9/12/2022  09:32:59.364925	-4.029812E+1	-1.700152E+1	-1.095992E+1	-3.573962E+0	1.720867E+0	-1.924784E+0	-1.605135E+1	1.120444E+1	1.356556E+1	7.589841E+0	1.413814E+1	-7.588670E+0	-1.974061E+1	-3.890575E+0	3.008883E+0	2.097789E+0	-3.493472E+1	-4.180434E+0	-1.670544E+1
9/12/2022  09:32:59.368925	-3.583232E+1	-1.480598E+1	-9.041213E+0	-4.811099E-2	5.437366E+0	5.056164E+0	-9.077140E+0	1.824199E+1	1.893704E+1	1.239430E+1	1.735547E+1	-3.932152E+0	-1.304763E+1	9.708691E-1	7.803315E+0	5.786013E+0	-3.131589E+1	-1.284430E+0	-1.454737E+1
9/12/2022  09:32:59.372925	-2.517510E+1	-9.077712E+0	-4.703666E+0	6.518263E-2	6.323765E+0	1.146735E+1	-4.431901E+0	2.219432E+1	2.193582E+1	8.084464E+0	2.032518E+1	4.265177E+0	-3.376461E+0	5.975546E+0	1.257454E+1	1.062929E+1	-2.485161E+1	3.049013E+0	-1.188104E+1
9/12/2022  09:32:59.376925	-1.733804E+1	-2.432325E+0	-8.697708E-1	-2.680669E+0	4.258039E+0	1.277127E+1	-4.418647E+0	2.142316E+1	2.128043E+1	7.005227E-1	2.060188E+1	9.446114E+0	1.012629E+0	6.912534E+0	1.324653E+1	1.150616E+1	-2.137319E+1	5.397242E+0	-1.094929E+1
9/12/2022  09:32:59.380925	-1.657341E+1	4.081280E+0	1.675193E+0	-5.541132E+0	1.540692E+0	9.139898E+0	-7.300563E+0	1.845367E+1	1.876191E+1	-2.825221E+0	1.858317E+1	8.462827E+0	-2.032451E+0	3.537765E+0	9.702601E+0	7.604221E+0	-2.283272E+1	5.337854E+0	-1.187115E+1
9/12/2022  09:32:59.384925	-2.045131E+1	1.074056E+1	4.163405E+0	-5.880855E+0	8.924573E-1	4.517714E+0	-9.263094E+0	1.753087E+1	1.757923E+1	3.665432E-1	1.681824E+1	3.800933E+0	-8.119183E+0	-9.070672E-1	5.116194E+0	2.344820E+0	-2.670374E+1	5.031396E+0	-1.297368E+1
9/12/2022  09:32:59.388925	-2.335728E+1	1.753100E+1	7.919408E+0	-3.178956E+0	3.257086E+0	3.017804E+0	-7.749750E+0	2.100662E+1	1.972191E+1	7.687343E+0	1.771510E+1	4.996117E-1	-1.085244E+1	-2.708209E+0	3.053116E+0	-6.203838E-3	-2.893054E+1	6.623488E+0	-1.258116E+1
9/12/2022  09:32:59.392925	-2.185745E+1	2.296191E+1	1.252450E+1	7.381460E-1	7.108853E+0	5.668281E+0	-3.490200E+0	2.741098E+1	2.442420E+1	1.383169E+1	2.150969E+1	1.664554E+0	-7.339536E+0	-6.690950E-1	4.744634E+0	1.950222E+0	-2.762429E+1	9.900558E+0	-1.060444E+1
9/12/2022  09:32:59.396925	-1.737202E+1	2.458425E+1	1.572818E+1	3.245989E+0	9.708864E+0	9.973410E+0	2.647440E-1	3.262591E+1	2.880166E+1	1.505618E+1	2.605264E+1	6.186360E+0	-2.699529E-1	3.212060E+0	8.502446E+0	5.713175E+0	-2.445144E+1	1.222116E+1	-8.595040E+0
9/12/2022  09:32:59.400925	-1.434938E+1	2.081462E+1	1.514350E+1	2.900955E+0	9.226922E+0	1.233044E+1	5.110312E-1	3.311437E+1	3.006591E+1	1.163199E+1	2.847799E+1	1.013478E+1	4.729862E+0	5.651290E+0	1.138667E+1	7.136242E+0	-2.286877E+1	1.066966E+1	-8.341070E+0
9/12/2022  09:32:59.404925	-1.604045E+1	1.241975E+1	1.021487E+1	2.989155E-1	6.053469E+0	1.109233E+1	-3.046778E+0	2.862333E+1	2.755496E+1	6.918857E+0	2.736071E+1	1.024564E+1	3.905199E+0	4.805589E+0	1.152287E+1	3.875223E+0	-2.502089E+1	4.484577E+0	-1.032351E+1
9/12/2022  09:32:59.408925	-2.172292E+1	2.278514E+0	2.774743E+0	-2.703897E+0	2.369480E+0	7.755865E+0	-7.767614E+0	2.231595E+1	2.307486E+1	4.287187E+0	2.367780E+1	6.451007E+0	-1.721391E+0	1.579517E+0	9.203787E+0	-2.870290E+0	-3.002457E+1	-4.313473E+0	-1.338203E+1
