waveform	[0]	[1]	[2]	[3]	[4]	[5]	[6]	[7]	[8]	[9]	[10]	[11]	[12]	[13]	[14]	[15]	[16]	[17]	[18]
t0	9/12/2022  09:41:14.337470	9/12/2022  09:41:14.337470	9/12/2022  09:41:14.337470	9/12/2022  09:41:14.337470	9/12/2022  09:41:14.337470	9/12/2022  09:41:14.337470	9/12/2022  09:41:14.337470	9/12/2022  09:41:14.337470	9/12/2022  09:41:14.337470	9/12/2022  09:41:14.337470	9/12/2022  09:41:14.337470	9/12/2022  09:41:14.337470	9/12/2022  09:41:14.337470	9/12/2022  09:41:14.337470	9/12/2022  09:41:14.337470	9/12/2022  09:41:14.337470	9/12/2022  09:41:14.337470	9/12/2022  09:41:14.337470	9/12/2022  09:41:14.337470
delta t	0.004000	0.004000	0.004000	0.004000	0.004000	0.004000	0.004000	0.004000	0.004000	0.004000	0.004000	0.004000	0.004000	0.004000	0.004000	0.004000	0.004000	0.004000	0.004000

time	Y[0]	Y[1]	Y[2]	Y[3]	Y[4]	Y[5]	Y[6]	Y[7]	Y[8]	Y[9]	Y[10]	Y[11]	Y[12]	Y[13]	Y[14]	Y[15]	Y[16]	Y[17]	Y[18]
9/12/2022  09:41:14.337470	5.646462E+1	3.107160E+1	3.334568E+1	3.902211E+1	2.056812E+1	3.060506E+1	1.843721E+1	3.063616E+1	3.563344E+1	3.285237E+1	4.331219E+1	2.675368E+1	3.328353E+1	2.252803E+1	2.265743E+1	3.379629E+1	3.903999E+1	3.152743E+1	2.756619E+1
9/12/2022  09:41:14.341470	4.945417E+1	2.289110E+1	2.606696E+1	2.452411E+1	1.045146E+1	2.361102E+1	2.773783E+0	1.344979E+1	7.730317E+0	1.398923E+1	1.068729E+1	7.157214E+0	1.609746E+1	1.116201E+1	6.469594E+0	2.297963E+1	2.690870E+1	2.260739E+1	1.897570E+1
9/12/2022  09:41:14.345470	2.433789E+1	6.955464E+0	9.970366E+0	4.508604E+0	-7.447309E-1	9.479916E+0	-1.240340E+1	-6.272895E+0	-1.621455E+1	-5.196466E+0	-1.741257E+1	-1.436219E+1	-5.796205E+0	-3.835862E+0	-1.341038E+1	2.830825E+0	5.532211E+0	4.819291E+0	5.551874E+0
9/12/2022  09:41:14.349470	-3.761543E+0	-7.866149E+0	-5.867569E+0	-1.111262E+1	-6.790822E+0	-3.066682E+0	-1.994435E+1	-1.921119E+1	-2.799429E+1	-1.664544E+1	-3.133150E+1	-2.754584E+1	-2.186829E+1	-1.483021E+1	-2.705606E+1	-1.590645E+1	-1.363948E+1	-1.217641E+1	-5.198614E+0
9/12/2022  09:41:14.353470	-1.936448E+1	-1.437642E+1	-1.368863E+1	-1.612894E+1	-5.470868E+0	-7.484280E+0	-1.801054E+1	-2.096749E+1	-2.698803E+1	-1.790234E+1	-3.005983E+1	-2.812563E+1	-2.586828E+1	-1.751025E+1	-2.948385E+1	-2.458276E+1	-2.175691E+1	-2.033924E+1	-8.353731E+0
9/12/2022  09:41:14.357470	-1.692763E+1	-1.160939E+1	-1.195177E+1	-1.138503E+1	2.496595E-1	-3.561744E+0	-1.075259E+1	-1.448155E+1	-1.975783E+1	-1.298071E+1	-2.085389E+1	-2.009910E+1	-1.945150E+1	-1.319536E+1	-2.329435E+1	-2.198661E+1	-1.793316E+1	-1.831912E+1	-4.498939E+0
