waveform	[0]	[1]	[2]	[3]	[4]	[5]	[6]	[7]	[8]	[9]	[10]	[11]	[12]	[13]	[14]	[15]	[16]	[17]	[18]
t0	9/12/2022  09:39:55.922670	9/12/2022  09:39:55.922670	9/12/2022  09:39:55.922670	9/12/2022  09:39:55.922670	9/12/2022  09:39:55.922670	9/12/2022  09:39:55.922670	9/12/2022  09:39:55.922670	9/12/2022  09:39:55.922670	9/12/2022  09:39:55.922670	9/12/2022  09:39:55.922670	9/12/2022  09:39:55.922670	9/12/2022  09:39:55.922670	9/12/2022  09:39:55.922670	9/12/2022  09:39:55.922670	9/12/2022  09:39:55.922670	9/12/2022  09:39:55.922670	9/12/2022  09:39:55.922670	9/12/2022  09:39:55.922670	9/12/2022  09:39:55.922670
delta t	0.004000	0.004000	0.004000	0.004000	0.004000	0.004000	0.004000	0.004000	0.004000	0.004000	0.004000	0.004000	0.004000	0.004000	0.004000	0.004000	0.004000	0.004000	0.004000

time	Y[0]	Y[1]	Y[2]	Y[3]	Y[4]	Y[5]	Y[6]	Y[7]	Y[8]	Y[9]	Y[10]	Y[11]	Y[12]	Y[13]	Y[14]	Y[15]	Y[16]	Y[17]	Y[18]
9/12/2022  09:39:55.922670	-4.295405E+1	-8.620869E+0	-1.946751E+1	1.077424E+0	-3.252426E-1	-1.330979E+1	7.589567E+0	-9.503504E+0	-1.951450E+0	-1.949307E+0	-4.962115E-1	-8.322000E-1	-9.634784E+0	-9.315220E-1	-3.449298E+0	-1.976104E+1	-1.809580E+1	-1.395428E+1	-7.375356E+0
9/12/2022  09:39:55.926670	-3.862665E+1	-3.522510E+0	-1.563300E+1	3.557014E+0	3.705363E+0	-9.534017E+0	8.918919E+0	-7.465906E+0	-4.261060E+0	-2.558645E-1	-3.083994E+0	-6.903613E-1	-9.885262E+0	4.485885E+0	-1.118049E+0	-1.123252E+1	-9.957932E+0	-5.348406E+0	-3.409571E-1
9/12/2022  09:39:55.930670	-2.140566E+1	1.166440E+0	-6.933363E+0	4.072523E+0	3.983445E+0	-2.587227E+0	5.912500E+0	-5.287334E+0	-8.193830E+0	-1.524164E+0	-9.320768E+0	-2.605703E+0	-6.821738E+0	8.999685E+0	7.298274E-1	1.883610E+0	1.811824E+0	4.354749E+0	6.104663E+0
9/12/2022  09:39:55.934670	-2.532044E+0	2.365384E+0	1.750517E+0	2.186604E+0	-3.307917E-1	2.761819E+0	-1.085253E+0	-5.625904E+0	-1.476010E+1	-5.913118E+0	-1.954800E+1	-7.944984E+0	-4.711776E+0	9.606690E+0	2.894352E-1	1.213100E+1	1.008001E+1	9.579356E+0	7.984367E+0
9/12/2022  09:39:55.938670	7.317300E+0	2.598878E-1	6.282575E+0	-9.957791E-1	-6.776415E+0	3.310402E+0	-9.225756E+0	-9.467530E+0	-2.332839E+1	-1.165526E+1	-3.157364E+1	-1.547602E+1	-6.657113E+0	5.913758E+0	-2.257536E+0	1.419893E+1	1.059672E+1	8.169543E+0	4.811320E+0
9/12/2022  09:39:55.942670	5.129220E+0	-2.235043E+0	5.706383E+0	-3.485159E+0	-1.131979E+1	-4.476382E-1	-1.497241E+1	-1.527017E+1	-3.162388E+1	-1.607916E+1	-4.175018E+1	-2.213896E+1	-1.240754E+1	2.675654E-1	-5.114006E+0	8.039607E+0	4.536195E+0	2.344419E+0	-4.001481E-1
