waveform	[0]	[1]	[2]	[3]	[4]	[5]	[6]	[7]	[8]	[9]	[10]	[11]	[12]	[13]	[14]	[15]	[16]	[17]	[18]
t0	9/12/2022  09:42:30.515497	9/12/2022  09:42:30.515497	9/12/2022  09:42:30.515497	9/12/2022  09:42:30.515497	9/12/2022  09:42:30.515497	9/12/2022  09:42:30.515497	9/12/2022  09:42:30.515497	9/12/2022  09:42:30.515497	9/12/2022  09:42:30.515497	9/12/2022  09:42:30.515497	9/12/2022  09:42:30.515497	9/12/2022  09:42:30.515497	9/12/2022  09:42:30.515497	9/12/2022  09:42:30.515497	9/12/2022  09:42:30.515497	9/12/2022  09:42:30.515497	9/12/2022  09:42:30.515497	9/12/2022  09:42:30.515497	9/12/2022  09:42:30.515497
delta t	0.004000	0.004000	0.004000	0.004000	0.004000	0.004000	0.004000	0.004000	0.004000	0.004000	0.004000	0.004000	0.004000	0.004000	0.004000	0.004000	0.004000	0.004000	0.004000

time	Y[0]	Y[1]	Y[2]	Y[3]	Y[4]	Y[5]	Y[6]	Y[7]	Y[8]	Y[9]	Y[10]	Y[11]	Y[12]	Y[13]	Y[14]	Y[15]	Y[16]	Y[17]	Y[18]
9/12/2022  09:42:30.515497	1.449649E+1	-1.391863E+0	3.924266E+0	-2.263998E-1	-1.299064E+0	-3.271077E+0	-1.653652E+0	5.880210E+0	1.874321E+1	1.908100E+0	1.510409E+1	-1.404885E+0	2.324051E+0	-1.132214E+1	-1.305621E+1	-7.638578E+0	-7.866440E+0	-8.628613E+0	-5.380000E+0
9/12/2022  09:42:30.519497	1.224976E+1	-5.191924E-1	1.848743E+0	9.139825E-1	2.981418E+0	5.534434E-1	7.366409E+0	1.310446E+1	4.659633E+1	1.249969E+1	3.936718E+1	1.012679E+1	1.147447E+1	-5.657897E+0	-7.844560E+0	-3.069056E+0	-3.575741E+0	-5.725662E+0	-3.816991E+0
9/12/2022  09:42:30.523497	6.924492E+0	-1.907539E+0	-2.027663E+0	1.185959E+0	7.261928E+0	4.333062E+0	1.635986E+1	2.002585E+1	6.896266E+1	2.168141E+1	5.974823E+1	2.017983E+1	1.997649E+1	5.181531E-1	-3.068382E+0	-1.046182E+0	-7.942965E-1	-5.466128E+0	-3.182346E+0
9/12/2022  09:42:30.527497	-7.895169E-2	-6.003668E+0	-6.986352E+0	-1.142438E-1	9.276036E+0	6.246093E+0	2.209328E+1	2.396564E+1	7.965343E+1	2.586819E+1	7.035632E+1	2.541465E+1	2.481063E+1	4.574544E+0	-7.956820E-1	-2.555394E+0	-1.323582E+0	-8.920231E+0	-4.335458E+0
9/12/2022  09:42:30.531497	-6.307422E+0	-1.098845E+1	-1.151834E+1	-2.513138E+0	8.458189E+0	5.805708E+0	2.358892E+1	2.410245E+1	7.920801E+1	2.483181E+1	7.146934E+1	2.596687E+1	2.559984E+1	5.732801E+0	-9.617952E-1	-5.837698E+0	-4.317800E+0	-1.383502E+1	-6.560945E+0
9/12/2022  09:42:30.535497	-9.576050E+0	-1.392519E+1	-1.406094E+1	-4.747201E+0	6.100220E+0	4.048025E+0	2.224418E+1	2.171816E+1	7.349919E+1	2.135076E+1	6.831609E+1	2.476559E+1	2.438343E+1	5.132715E+0	-1.801461E+0	-7.707865E+0	-7.083055E+0	-1.625776E+1	-8.206781E+0
9/12/2022  09:42:30.539497	-9.269483E+0	-1.293770E+1	-1.397289E+1	-5.806271E+0	4.142969E+0	2.621786E+0	2.037431E+1	1.898596E+1	6.906004E+1	1.876669E+1	6.663368E+1	2.481338E+1	2.366906E+1	4.510491E+0	-1.623384E+0	-6.059653E+0	-7.252905E+0	-1.366837E+1	-8.068949E+0
9/12/2022  09:42:30.543497	-6.698426E+0	-8.734203E+0	-1.201896E+1	-5.762111E+0	3.667627E+0	2.547300E+0	1.948000E+1	1.740887E+1	6.878220E+1	1.850506E+1	6.855054E+1	2.668934E+1	2.441164E+1	4.678776E+0	-3.876662E-1	-1.569417E+0	-4.607659E+0	-7.121579E+0	-6.384885E+0
9/12/2022  09:42:30.547497	-4.230035E+0	-4.275625E+0	-9.955244E+0	-5.706898E+0	4.277452E+0	3.604238E+0	1.956136E+1	1.712539E+1	7.099775E+1	1.945943E+1	7.180449E+1	2.827048E+1	2.551361E+1	5.042410E+0	2.590703E-1	2.775780E+0	-1.146533E+0	-6.669722E-1	-4.651660E+0
9/12/2022  09:42:30.551497	-3.783218E+0	-2.796575E+0	-9.456481E+0	-6.853463E+0	4.734764E+0	4.735678E+0	1.977875E+1	1.742052E+1	7.209578E+1	1.948884E+1	7.249071E+1	2.680177E+1	2.511415E+1	4.431229E+0	-1.481409E+0	3.971647E+0	5.605411E-1	1.539664E+0	-4.451564E+0
9/12/2022  09:42:30.555497	-5.714720E+0	-5.608304E+0	-1.109771E+1	-9.504463E+0	4.178703E+0	5.023330E+0	1.962345E+1	1.774203E+1	7.012679E+1	1.756585E+1	6.879064E+1	2.153042E+1	2.246105E+1	2.413284E+0	-5.762419E+0	1.316924E+0	-6.173203E-1	-1.766762E+0	-6.241314E+0
9/12/2022  09:42:30.559497	-8.801015E+0	-1.123169E+1	-1.404801E+1	-1.267813E+1	2.854285E+0	4.383936E+0	1.945858E+1	1.821541E+1	6.640572E+1	1.472625E+1	6.260691E+1	1.470472E+1	1.874324E+1	-1.021881E-1	-1.058290E+1	-3.034799E+0	-3.563692E+0	-8.087733E+0	-9.035661E+0
9/12/2022  09:42:30.563497	-1.121671E+1	-1.640226E+1	-1.662749E+1	-1.466475E+1	1.800721E+0	3.458439E+0	2.000167E+1	1.926228E+1	6.408236E+1	1.312395E+1	5.797138E+1	1.011324E+1	1.620233E+1	-1.498534E+0	-1.306383E+1	-5.677087E+0	-5.852462E+0	-1.297192E+1	-1.116639E+1
9/12/2022  09:42:30.567497	-1.174646E+1	-1.817500E+1	-1.732025E+1	-1.411247E+1	1.872928E+0	2.896165E+0	2.135099E+1	2.083214E+1	6.522015E+1	1.412612E+1	5.776773E+1	1.033611E+1	1.630858E+1	-7.702978E-1	-1.154578E+1	-4.431762E+0	-5.608610E+0	-1.307416E+1	-1.147098E+1
9/12/2022  09:42:30.571497	-1.041444E+1	-1.569623E+1	-1.561163E+1	-1.090633E+1	2.999687E+0	2.736488E+0	2.257931E+1	2.211449E+1	6.898492E+1	1.711573E+1	6.152775E+1	1.487210E+1	1.855015E+1	1.596697E+0	-6.871169E+0	1.629758E-1	-2.840441E+0	-8.247008E+0	-1.001337E+1
9/12/2022  09:42:30.575497	-8.239029E+0	-1.058072E+1	-1.221746E+1	-6.300748E+0	4.301641E+0	2.449977E+0	2.237981E+1	2.210731E+1	7.237608E+1	1.996656E+1	6.597071E+1	2.054421E+1	2.083743E+1	3.916541E+0	-1.864645E+0	5.360663E+0	6.783125E-1	-1.357825E+0	-7.894035E+0
9/12/2022  09:42:30.579497	-6.457689E+0	-5.835870E+0	-8.679244E+0	-2.281037E+0	4.901308E+0	1.574133E+0	2.025473E+1	2.056097E+1	7.269885E+1	2.070898E+1	6.763260E+1	2.376966E+1	2.116526E+1	4.515364E+0	5.627255E-1	8.158837E+0	2.731372E+0	3.741777E+0	-6.425529E+0
9/12/2022  09:42:30.583497	-5.836448E+0	-4.143801E+0	-6.616594E+0	-5.766307E-1	4.668120E+0	3.302495E-1	1.718508E+1	1.840114E+1	6.961199E+1	1.896615E+1	6.535135E+1	2.290303E+1	1.915452E+1	2.883069E+0	-7.578349E-1	7.160023E+0	2.102882E+0	4.493788E+0	-6.343424E+0
9/12/2022  09:42:30.587497	-6.453873E+0	-6.525902E+0	-7.009077E+0	-1.871133E+0	4.247397E+0	-3.841474E-1	1.510597E+1	1.715111E+1	6.513345E+1	1.604298E+1	6.072944E+1	1.897062E+1	1.623865E+1	-1.072799E-1	-4.776978E+0	3.087908E+0	-8.610128E-1	7.112098E-1	-7.546941E+0
