waveform	[0]	[1]	[2]	[3]	[4]	[5]	[6]	[7]	[8]	[9]	[10]	[11]	[12]	[13]	[14]	[15]	[16]	[17]	[18]
t0	9/12/2022  09:35:52.776893	9/12/2022  09:35:52.776893	9/12/2022  09:35:52.776893	9/12/2022  09:35:52.776893	9/12/2022  09:35:52.776893	9/12/2022  09:35:52.776893	9/12/2022  09:35:52.776893	9/12/2022  09:35:52.776893	9/12/2022  09:35:52.776893	9/12/2022  09:35:52.776893	9/12/2022  09:35:52.776893	9/12/2022  09:35:52.776893	9/12/2022  09:35:52.776893	9/12/2022  09:35:52.776893	9/12/2022  09:35:52.776893	9/12/2022  09:35:52.776893	9/12/2022  09:35:52.776893	9/12/2022  09:35:52.776893	9/12/2022  09:35:52.776893
delta t	0.004000	0.004000	0.004000	0.004000	0.004000	0.004000	0.004000	0.004000	0.004000	0.004000	0.004000	0.004000	0.004000	0.004000	0.004000	0.004000	0.004000	0.004000	0.004000

time	Y[0]	Y[1]	Y[2]	Y[3]	Y[4]	Y[5]	Y[6]	Y[7]	Y[8]	Y[9]	Y[10]	Y[11]	Y[12]	Y[13]	Y[14]	Y[15]	Y[16]	Y[17]	Y[18]
9/12/2022  09:35:52.776893	5.546901E+1	1.771640E+1	2.453305E+1	1.301292E+1	1.033606E+1	2.377150E+1	5.292627E+0	2.040650E+1	6.012740E+0	3.709552E+0	6.003004E+0	9.080037E+0	1.976841E+1	1.180147E+1	1.390008E+1	2.546821E+1	2.658151E+1	1.806833E+1	1.367359E+1
9/12/2022  09:35:52.780893	3.549859E+1	3.605522E+0	1.106430E+1	1.713305E+0	3.074197E+0	1.496443E+1	-1.601955E+0	1.035061E+1	-3.524555E+0	-8.902640E+0	-7.933606E-1	9.250534E+0	1.232632E+1	3.319556E+0	8.131962E+0	1.212718E+1	1.119859E+1	3.316155E+0	2.166552E+0
9/12/2022  09:35:52.784893	7.962003E+0	-6.717334E+0	-2.501435E+0	-5.529483E+0	-2.107716E+0	3.327593E+0	-6.094009E+0	2.212169E-1	-1.194974E+1	-1.552886E+1	-7.229744E+0	6.256106E+0	1.452686E-1	-4.889551E+0	1.694408E+0	-1.631797E+0	-3.954327E+0	-7.880161E+0	-6.820568E+0
9/12/2022  09:35:52.788893	-1.175357E+1	-8.692571E+0	-8.943491E+0	-5.722064E+0	-2.233592E+0	-3.697396E+0	-5.815130E+0	-3.958622E+0	-1.551566E+1	-1.390053E+1	-1.061249E+1	2.812717E+0	-9.274326E+0	-8.398276E+0	-1.827041E+0	-9.333378E+0	-1.156067E+1	-1.124003E+1	-9.135317E+0
9/12/2022  09:35:52.792893	-1.476718E+1	-3.087596E+0	-5.990480E+0	-8.489310E-1	2.210204E+0	-2.673610E+0	-1.831192E+0	-6.342967E-1	-1.414344E+1	-6.820522E+0	-1.082928E+1	7.506175E-1	-1.148288E+1	-6.668846E+0	-1.247883E+0	-9.045059E+0	-9.974650E+0	-7.561626E+0	-5.397414E+0
9/12/2022  09:35:52.796893	-3.954638E+0	4.999511E+0	2.515175E+0	4.042469E+0	7.754802E+0	3.939858E+0	2.386766E+0	6.454326E+0	-1.109661E+1	-3.352946E-2	-9.793480E+0	2.948729E-1	-7.437515E+0	-2.690852E+0	1.830670E+0	-3.899921E+0	-3.464748E+0	-1.406636E+0	2.372685E-2
9/12/2022  09:35:52.800893	9.428765E+0	9.923660E+0	9.782777E+0	4.884939E+0	1.052115E+1	1.026747E+1	3.636634E+0	1.133673E+1	-1.017827E+1	1.809139E+0	-9.481391E+0	6.613511E-1	-1.851841E+0	-1.096967E-1	4.571949E+0	8.551093E-1	1.694620E+0	2.483468E+0	2.624588E+0
9/12/2022  09:35:52.804893	1.465620E+1	9.175509E+0	1.097625E+1	1.486639E+0	8.893471E+0	1.166242E+1	1.201747E+0	1.026947E+1	-1.277146E+1	-1.912569E+0	-1.033994E+1	1.115872E+0	7.293516E-1	-3.689491E-1	5.056035E+0	1.746792E+0	1.976810E+0	2.222126E+0	1.027042E+0
9/12/2022  09:35:52.808893	8.983258E+0	4.404653E+0	6.168356E+0	-2.885672E+0	4.353387E+0	7.865794E+0	-2.980162E+0	4.199465E+0	-1.702136E+1	-7.950164E+0	-1.133163E+1	1.470201E+0	-1.029081E+0	-2.102048E+0	3.386023E+0	-1.034928E+0	-1.439266E+0	-8.013518E-1	-2.561564E+0
9/12/2022  09:35:52.812893	-1.670866E+0	-5.700349E-1	-5.659706E-1	-4.604882E+0	4.624079E-2	2.492470E+0	-6.086280E+0	-2.411514E+0	-1.961265E+1	-1.200995E+1	-1.133292E+1	1.748330E+0	-5.129576E+0	-2.941731E+0	1.089054E+0	-4.792917E+0	-4.622905E+0	-3.941981E+0	-4.733139E+0
